Date,Predicted Sales
2024-01-31,848
2024-02-29,681
2024-03-31,707
2024-04-30,621
2024-05-31,686
2024-06-30,696
2024-07-31,739
2024-08-31,811
2024-09-30,636
2024-10-31,803
2024-11-30,656
2024-12-31,715
2025-01-31,859
2025-02-28,678
2025-03-31,657
2025-04-30,664
2025-05-31,679
2025-06-30,674
2025-07-31,830
2025-08-31,784
2025-09-30,668
2025-10-31,722
2025-11-30,648
2025-12-31,782
2026-01-31,860
2026-02-28,686
2026-03-31,686
2026-04-30,658
2026-05-31,686
2026-06-30,693
2026-07-31,819
2026-08-31,781
2026-09-30,672
2026-10-31,757
2026-11-30,667
2026-12-31,774
2027-01-31,865
2027-02-28,686
2027-03-31,681
2027-04-30,654
2027-05-31,684
2027-06-30,684
2027-07-31,798
2027-08-31,801
2027-09-30,664
2027-10-31,747
2027-11-30,654
2027-12-31,768
2028-01-31,871
2028-02-29,687
2028-03-31,681
2028-04-30,663
2028-05-31,693
2028-06-30,695
2028-07-31,829
2028-08-31,788
2028-09-30,669
