Date,Predicted Sales
2024-01-31,749
2024-02-29,781
2024-03-31,744
2024-04-30,767
2024-05-31,867
2024-06-30,865
2024-07-31,808
2024-08-31,838
2024-09-30,871
2024-10-31,827
2024-11-30,729
2024-12-31,791
2025-01-31,738
2025-02-28,722
2025-03-31,788
2025-04-30,764
2025-05-31,825
2025-06-30,848
2025-07-31,779
2025-08-31,796
2025-09-30,873
2025-10-31,805
2025-11-30,756
2025-12-31,800
2026-01-31,755
2026-02-28,705
2026-03-31,800
2026-04-30,748
2026-05-31,844
2026-06-30,843
2026-07-31,772
2026-08-31,784
2026-09-30,874
2026-10-31,815
2026-11-30,778
2026-12-31,789
2027-01-31,753
2027-02-28,737
2027-03-31,800
2027-04-30,765
2027-05-31,844
2027-06-30,852
2027-07-31,783
2027-08-31,796
2027-09-30,880
2027-10-31,821
2027-11-30,781
2027-12-31,791
2028-01-31,758
2028-02-29,734
2028-03-31,806
2028-04-30,774
2028-05-31,856
2028-06-30,866
2028-07-31,792
2028-08-31,798
2028-09-30,895
