Date,Predicted Sales
2024-01-31,741
2024-02-29,642
2024-03-31,726
2024-04-30,692
2024-05-31,800
2024-06-30,685
2024-07-31,721
2024-08-31,695
2024-09-30,695
2024-10-31,717
2024-11-30,797
2024-12-31,696
2025-01-31,745
2025-02-28,619
2025-03-31,739
2025-04-30,686
2025-05-31,769
2025-06-30,704
2025-07-31,712
2025-08-31,674
2025-09-30,658
2025-10-31,776
2025-11-30,753
2025-12-31,744
2026-01-31,740
2026-02-28,621
2026-03-31,720
2026-04-30,675
2026-05-31,761
2026-06-30,716
2026-07-31,743
2026-08-31,703
2026-09-30,645
2026-10-31,690
2026-11-30,740
2026-12-31,689
2027-01-31,738
2027-02-28,619
2027-03-31,716
2027-04-30,670
2027-05-31,759
2027-06-30,705
2027-07-31,732
2027-08-31,693
2027-09-30,648
2027-10-31,688
2027-11-30,748
2027-12-31,698
2028-01-31,733
2028-02-29,611
2028-03-31,714
2028-04-30,669
2028-05-31,755
2028-06-30,701
2028-07-31,733
2028-08-31,691
2028-09-30,668
