Date,Predicted Sales
2024-01-31,668
2024-02-29,705
2024-03-31,720
2024-04-30,705
2024-05-31,780
2024-06-30,722
2024-07-31,675
2024-08-31,752
2024-09-30,636
2024-10-31,742
2024-11-30,694
2024-12-31,754
2025-01-31,711
2025-02-28,695
2025-03-31,736
2025-04-30,722
2025-05-31,740
2025-06-30,748
2025-07-31,644
2025-08-31,737
2025-09-30,680
2025-10-31,736
2025-11-30,717
2025-12-31,741
2026-01-31,729
2026-02-28,694
2026-03-31,727
2026-04-30,713
2026-05-31,752
2026-06-30,729
2026-07-31,645
2026-08-31,752
2026-09-30,665
2026-10-31,746
2026-11-30,701
2026-12-31,754
2027-01-31,714
2027-02-28,696
2027-03-31,718
2027-04-30,710
2027-05-31,756
2027-06-30,723
2027-07-31,653
2027-08-31,753
2027-09-30,650
2027-10-31,746
2027-11-30,696
2027-12-31,756
2028-01-31,709
2028-02-29,692
2028-03-31,725
2028-04-30,708
2028-05-31,751
2028-06-30,728
2028-07-31,647
2028-08-31,748
2028-09-30,652
