Date,Predicted Sales
2024-01-31,958
2024-02-29,962
2024-03-31,897
2024-04-30,907
2024-05-31,978
2024-06-30,937
2024-07-31,981
2024-08-31,948
2024-09-30,922
2024-10-31,936
2024-11-30,929
2024-12-31,961
2025-01-31,1054
2025-02-28,997
2025-03-31,932
2025-04-30,971
2025-05-31,1030
2025-06-30,990
2025-07-31,1036
2025-08-31,1004
2025-09-30,967
2025-10-31,972
2025-11-30,968
2025-12-31,1009
2026-01-31,1102
2026-02-28,1035
2026-03-31,959
2026-04-30,1011
2026-05-31,1082
2026-06-30,1043
2026-07-31,1083
2026-08-31,1048
2026-09-30,1018
2026-10-31,1018
2026-11-30,1005
2026-12-31,1048
2027-01-31,1140
2027-02-28,1086
2027-03-31,1013
2027-04-30,1053
2027-05-31,1114
2027-06-30,1084
2027-07-31,1127
2027-08-31,1091
2027-09-30,1061
2027-10-31,1060
2027-11-30,1053
2027-12-31,1079
2028-01-31,1186
2028-02-29,1124
2028-03-31,1051
2028-04-30,1092
2028-05-31,1166
2028-06-30,1128
2028-07-31,1161
2028-08-31,1122
2028-09-30,1097
