Date,Predicted Sales
2024-01-31,737
2024-02-29,647
2024-03-31,823
2024-04-30,699
2024-05-31,676
2024-06-30,652
2024-07-31,750
2024-08-31,692
2024-09-30,819
2024-10-31,875
2024-11-30,662
2024-12-31,608
2025-01-31,741
2025-02-28,623
2025-03-31,766
2025-04-30,667
2025-05-31,672
2025-06-30,644
2025-07-31,769
2025-08-31,689
2025-09-30,802
2025-10-31,810
2025-11-30,690
2025-12-31,652
2026-01-31,707
2026-02-28,589
2026-03-31,778
2026-04-30,722
2026-05-31,675
2026-06-30,637
2026-07-31,739
2026-08-31,665
2026-09-30,823
2026-10-31,835
2026-11-30,667
2026-12-31,617
2027-01-31,702
2027-02-28,594
2027-03-31,772
2027-04-30,688
2027-05-31,664
2027-06-30,628
2027-07-31,724
2027-08-31,657
2027-09-30,818
2027-10-31,838
2027-11-30,653
2027-12-31,601
2028-01-31,698
2028-02-29,594
2028-03-31,764
2028-04-30,671
2028-05-31,654
2028-06-30,616
2028-07-31,718
2028-08-31,656
2028-09-30,802
