Date,Predicted Sales
2024-01-31,1478
2024-02-29,1423
2024-03-31,1520
2024-04-30,1585
2024-05-31,1634
2024-06-30,1540
2024-07-31,1358
2024-08-31,1395
2024-09-30,1421
2024-10-31,1478
2024-11-30,1383
2024-12-31,1552
2025-01-31,1519
2025-02-28,1425
2025-03-31,1549
2025-04-30,1518
2025-05-31,1636
2025-06-30,1581
2025-07-31,1420
2025-08-31,1461
2025-09-30,1516
2025-10-31,1553
2025-11-30,1377
2025-12-31,1583
2026-01-31,1486
2026-02-28,1449
2026-03-31,1561
2026-04-30,1640
2026-05-31,1700
2026-06-30,1589
2026-07-31,1455
2026-08-31,1437
2026-09-30,1546
2026-10-31,1515
2026-11-30,1404
2026-12-31,1588
2027-01-31,1519
2027-02-28,1462
2027-03-31,1566
2027-04-30,1612
2027-05-31,1684
2027-06-30,1585
2027-07-31,1431
2027-08-31,1448
2027-09-30,1517
2027-10-31,1542
2027-11-30,1418
2027-12-31,1598
2028-01-31,1527
2028-02-29,1451
2028-03-31,1563
2028-04-30,1611
2028-05-31,1698
2028-06-30,1604
2028-07-31,1455
2028-08-31,1476
2028-09-30,1554
