Date,Predicted Sales
2024-01-31,657
2024-02-29,642
2024-03-31,675
2024-04-30,734
2024-05-31,686
2024-06-30,719
2024-07-31,719
2024-08-31,679
2024-09-30,714
2024-10-31,726
2024-11-30,709
2024-12-31,730
2025-01-31,646
2025-02-28,644
2025-03-31,682
2025-04-30,732
2025-05-31,683
2025-06-30,707
2025-07-31,715
2025-08-31,671
2025-09-30,709
2025-10-31,726
2025-11-30,706
2025-12-31,727
2026-01-31,657
2026-02-28,644
2026-03-31,683
2026-04-30,732
2026-05-31,682
2026-06-30,717
2026-07-31,720
2026-08-31,677
2026-09-30,713
2026-10-31,724
2026-11-30,708
2026-12-31,736
2027-01-31,658
2027-02-28,645
2027-03-31,681
2027-04-30,730
2027-05-31,675
2027-06-30,717
2027-07-31,714
2027-08-31,664
2027-09-30,715
2027-10-31,727
2027-11-30,714
2027-12-31,735
2028-01-31,659
2028-02-29,641
2028-03-31,682
2028-04-30,733
2028-05-31,684
2028-06-30,717
2028-07-31,722
2028-08-31,677
2028-09-30,718
