Date,Predicted Sales
2024-01-31,703
2024-02-29,748
2024-03-31,766
2024-04-30,712
2024-05-31,778
2024-06-30,799
2024-07-31,703
2024-08-31,827
2024-09-30,855
2024-10-31,672
2024-11-30,773
2024-12-31,742
2025-01-31,693
2025-02-28,713
2025-03-31,820
2025-04-30,720
2025-05-31,733
2025-06-30,771
2025-07-31,694
2025-08-31,869
2025-09-30,877
2025-10-31,679
2025-11-30,816
2025-12-31,756
2026-01-31,711
2026-02-28,738
2026-03-31,838
2026-04-30,720
2026-05-31,760
2026-06-30,774
2026-07-31,713
2026-08-31,904
2026-09-30,858
2026-10-31,695
2026-11-30,821
2026-12-31,760
2027-01-31,727
2027-02-28,758
2027-03-31,833
2027-04-30,739
2027-05-31,777
2027-06-30,801
2027-07-31,736
2027-08-31,887
2027-09-30,883
2027-10-31,718
2027-11-30,826
2027-12-31,775
2028-01-31,736
2028-02-29,761
2028-03-31,845
2028-04-30,750
2028-05-31,777
2028-06-30,808
2028-07-31,743
2028-08-31,899
2028-09-30,898
