Date,Predicted Sales
2024-01-31,484
2024-02-29,507
2024-03-31,567
2024-04-30,593
2024-05-31,491
2024-06-30,659
2024-07-31,651
2024-08-31,504
2024-09-30,499
2024-10-31,529
2024-11-30,589
2024-12-31,545
2025-01-31,541
2025-02-28,348
2025-03-31,498
2025-04-30,532
2025-05-31,480
2025-06-30,589
2025-07-31,619
2025-08-31,429
2025-09-30,441
2025-10-31,465
2025-11-30,435
2025-12-31,456
2026-01-31,398
2026-02-28,284
2026-03-31,396
2026-04-30,429
2026-05-31,365
2026-06-30,485
2026-07-31,505
2026-08-31,317
2026-09-30,325
2026-10-31,349
2026-11-30,348
2026-12-31,356
2027-01-31,302
2027-02-28,170
2027-03-31,293
2027-04-30,320
2027-05-31,255
2027-06-30,387
2027-07-31,402
2027-08-31,229
2027-09-30,234
2027-10-31,255
2027-11-30,266
2027-12-31,267
2028-01-31,230
2028-02-29,80
2028-03-31,206
2028-04-30,234
2028-05-31,175
2028-06-30,293
2028-07-31,319
2028-08-31,137
2028-09-30,152
