Date,Predicted Sales
2024-01-31,835
2024-02-29,723
2024-03-31,806
2024-04-30,714
2024-05-31,889
2024-06-30,666
2024-07-31,846
2024-08-31,815
2024-09-30,795
2024-10-31,864
2024-11-30,815
2024-12-31,730
2025-01-31,710
2025-02-28,767
2025-03-31,876
2025-04-30,697
2025-05-31,839
2025-06-30,851
2025-07-31,803
2025-08-31,913
2025-09-30,867
2025-10-31,839
2025-11-30,828
2025-12-31,757
2026-01-31,750
2026-02-28,692
2026-03-31,901
2026-04-30,759
2026-05-31,880
2026-06-30,880
2026-07-31,779
2026-08-31,888
2026-09-30,820
2026-10-31,812
2026-11-30,850
2026-12-31,793
2027-01-31,817
2027-02-28,776
2027-03-31,880
2027-04-30,745
2027-05-31,892
2027-06-30,800
2027-07-31,858
2027-08-31,908
2027-09-30,877
2027-10-31,885
2027-11-30,860
2027-12-31,781
2028-01-31,780
2028-02-29,759
2028-03-31,909
2028-04-30,769
2028-05-31,896
2028-06-30,903
2028-07-31,833
2028-08-31,925
2028-09-30,879
