Date,Predicted Sales
2024-01-31,692
2024-02-29,585
2024-03-31,655
2024-04-30,739
2024-05-31,658
2024-06-30,650
2024-07-31,659
2024-08-31,734
2024-09-30,713
2024-10-31,797
2024-11-30,751
2024-12-31,761
2025-01-31,661
2025-02-28,619
2025-03-31,659
2025-04-30,734
2025-05-31,574
2025-06-30,693
2025-07-31,700
2025-08-31,764
2025-09-30,687
2025-10-31,737
2025-11-30,763
2025-12-31,793
2026-01-31,646
2026-02-28,626
2026-03-31,687
2026-04-30,792
2026-05-31,595
2026-06-30,714
2026-07-31,707
2026-08-31,778
2026-09-30,670
2026-10-31,741
2026-11-30,746
2026-12-31,828
2027-01-31,674
2027-02-28,624
2027-03-31,676
2027-04-30,771
2027-05-31,610
2027-06-30,692
2027-07-31,689
2027-08-31,760
2027-09-30,693
2027-10-31,764
2027-11-30,764
2027-12-31,796
2028-01-31,656
2028-02-29,632
2028-03-31,673
2028-04-30,770
2028-05-31,593
2028-06-30,711
2028-07-31,707
2028-08-31,776
2028-09-30,684
