Date,Predicted Sales
2024-01-31,624
2024-02-29,607
2024-03-31,492
2024-04-30,590
2024-05-31,624
2024-06-30,564
2024-07-31,622
2024-08-31,650
2024-09-30,540
2024-10-31,590
2024-11-30,560
2024-12-31,590
2025-01-31,608
2025-02-28,573
2025-03-31,510
2025-04-30,528
2025-05-31,603
2025-06-30,530
2025-07-31,597
2025-08-31,615
2025-09-30,521
2025-10-31,555
2025-11-30,530
2025-12-31,551
2026-01-31,573
2026-02-28,539
2026-03-31,477
2026-04-30,485
2026-05-31,564
2026-06-30,496
2026-07-31,569
2026-08-31,585
2026-09-30,491
2026-10-31,525
2026-11-30,498
2026-12-31,514
2027-01-31,545
2027-02-28,512
2027-03-31,450
2027-04-30,467
2027-05-31,542
2027-06-30,466
2027-07-31,532
2027-08-31,553
2027-09-30,468
2027-10-31,501
2027-11-30,469
2027-12-31,492
2028-01-31,512
2028-02-29,471
2028-03-31,417
2028-04-30,436
2028-05-31,509
2028-06-30,434
2028-07-31,515
2028-08-31,544
2028-09-30,440
