Date,Predicted Sales
2024-01-31,839
2024-02-29,704
2024-03-31,822
2024-04-30,804
2024-05-31,760
2024-06-30,819
2024-07-31,842
2024-08-31,765
2024-09-30,757
2024-10-31,776
2024-11-30,776
2024-12-31,813
2025-01-31,855
2025-02-28,692
2025-03-31,760
2025-04-30,840
2025-05-31,731
2025-06-30,833
2025-07-31,809
2025-08-31,781
2025-09-30,763
2025-10-31,846
2025-11-30,728
2025-12-31,834
2026-01-31,891
2026-02-28,746
2026-03-31,826
2026-04-30,868
2026-05-31,805
2026-06-30,868
2026-07-31,889
2026-08-31,862
2026-09-30,741
2026-10-31,831
2026-11-30,754
2026-12-31,894
2027-01-31,898
2027-02-28,759
2027-03-31,851
2027-04-30,877
2027-05-31,817
2027-06-30,881
2027-07-31,891
2027-08-31,845
2027-09-30,795
2027-10-31,854
2027-11-30,804
2027-12-31,888
2028-01-31,919
2028-02-29,769
2028-03-31,842
2028-04-30,906
2028-05-31,832
2028-06-30,905
2028-07-31,891
2028-08-31,865
2028-09-30,810
