Date,Predicted Sales
2024-01-31,679
2024-02-29,712
2024-03-31,785
2024-04-30,776
2024-05-31,720
2024-06-30,763
2024-07-31,757
2024-08-31,866
2024-09-30,770
2024-10-31,877
2024-11-30,765
2024-12-31,721
2025-01-31,657
2025-02-28,759
2025-03-31,801
2025-04-30,768
2025-05-31,725
2025-06-30,778
2025-07-31,795
2025-08-31,885
2025-09-30,796
2025-10-31,861
2025-11-30,783
2025-12-31,719
2026-01-31,653
2026-02-28,780
2026-03-31,828
2026-04-30,791
2026-05-31,723
2026-06-30,817
2026-07-31,821
2026-08-31,916
2026-09-30,778
2026-10-31,871
2026-11-30,776
2026-12-31,779
2027-01-31,685
2027-02-28,777
2027-03-31,821
2027-04-30,799
2027-05-31,748
2027-06-30,807
2027-07-31,815
2027-08-31,913
2027-09-30,821
2027-10-31,901
2027-11-30,793
2027-12-31,760
2028-01-31,685
2028-02-29,808
2028-03-31,837
2028-04-30,805
2028-05-31,750
2028-06-30,842
2028-07-31,843
2028-08-31,933
2028-09-30,815
