Date,Predicted Sales
2024-01-31,761
2024-02-29,523
2024-03-31,732
2024-04-30,650
2024-05-31,698
2024-06-30,548
2024-07-31,730
2024-08-31,791
2024-09-30,684
2024-10-31,754
2024-11-30,702
2024-12-31,615
2025-01-31,758
2025-02-28,559
2025-03-31,708
2025-04-30,696
2025-05-31,669
2025-06-30,538
2025-07-31,794
2025-08-31,716
2025-09-30,706
2025-10-31,721
2025-11-30,682
2025-12-31,651
2026-01-31,754
2026-02-28,556
2026-03-31,710
2026-04-30,691
2026-05-31,654
2026-06-30,539
2026-07-31,769
2026-08-31,686
2026-09-30,676
2026-10-31,749
2026-11-30,652
2026-12-31,625
2027-01-31,732
2027-02-28,529
2027-03-31,694
2027-04-30,656
2027-05-31,649
2027-06-30,519
2027-07-31,743
2027-08-31,712
2027-09-30,663
2027-10-31,717
2027-11-30,653
2027-12-31,606
2028-01-31,720
2028-02-29,521
2028-03-31,680
2028-04-30,657
2028-05-31,637
2028-06-30,508
2028-07-31,747
2028-08-31,693
2028-09-30,658
