ProductName,Date,Sales
1984 by George Orwell,2015-05-31 00:00:00,2
1984 by George Orwell,2017-12-31 00:00:00,13
1984 by George Orwell,2019-07-31 00:00:00,12
1984 by George Orwell,2019-08-31 00:00:00,4
1984 by George Orwell,2019-09-30 00:00:00,6
1984 by George Orwell,2019-10-31 00:00:00,7
1984 by George Orwell,2019-11-30 00:00:00,6
1984 by George Orwell,2019-12-31 00:00:00,10
1984 by George Orwell,2020-01-31 00:00:00,6
1984 by George Orwell,2020-02-29 00:00:00,6
1984 by George Orwell,2020-03-31 00:00:00,6
1984 by George Orwell,2020-04-30 00:00:00,6
1984 by George Orwell,2020-05-31 00:00:00,6
1984 by George Orwell,2020-06-30 00:00:00,6
1984 by George Orwell,2020-07-31 00:00:00,9
1984 by George Orwell,2020-08-31 00:00:00,7
1984 by George Orwell,2020-09-30 00:00:00,7
1984 by George Orwell,2020-10-31 00:00:00,8
1984 by George Orwell,2020-11-30 00:00:00,7
1984 by George Orwell,2020-12-31 00:00:00,14
1984 by George Orwell,2021-01-31 00:00:00,8
1984 by George Orwell,2021-02-28 00:00:00,8
1984 by George Orwell,2021-03-31 00:00:00,8
1984 by George Orwell,2021-04-30 00:00:00,8
1984 by George Orwell,2021-05-31 00:00:00,8
1984 by George Orwell,2021-06-30 00:00:00,8
1984 by George Orwell,2021-07-31 00:00:00,11
1984 by George Orwell,2021-08-31 00:00:00,9
1984 by George Orwell,2021-09-30 00:00:00,9
1984 by George Orwell,2021-10-31 00:00:00,10
1984 by George Orwell,2021-11-30 00:00:00,10
1984 by George Orwell,2021-12-31 00:00:00,12
1984 by George Orwell,2022-01-31 00:00:00,10
1984 by George Orwell,2022-02-28 00:00:00,9
1984 by George Orwell,2022-03-31 00:00:00,10
1984 by George Orwell,2022-04-30 00:00:00,10
1984 by George Orwell,2022-05-31 00:00:00,10
1984 by George Orwell,2022-06-30 00:00:00,10
1984 by George Orwell,2022-07-31 00:00:00,17
1984 by George Orwell,2022-08-31 00:00:00,12
1984 by George Orwell,2022-09-30 00:00:00,13
1984 by George Orwell,2022-10-31 00:00:00,14
1984 by George Orwell,2022-11-30 00:00:00,13
1984 by George Orwell,2022-12-31 00:00:00,18
1984 by George Orwell,2023-01-31 00:00:00,14
1984 by George Orwell,2023-02-28 00:00:00,13
