ProductName,Date,Sales
Baggy Fit Jeans,2015-01-31 00:00:00,580
Baggy Fit Jeans,2015-02-28 00:00:00,769
Baggy Fit Jeans,2015-03-31 00:00:00,677
Baggy Fit Jeans,2015-04-30 00:00:00,1015
Baggy Fit Jeans,2015-05-31 00:00:00,781
Baggy Fit Jeans,2015-06-30 00:00:00,652
Baggy Fit Jeans,2015-07-31 00:00:00,829
Baggy Fit Jeans,2015-08-31 00:00:00,776
Baggy Fit Jeans,2015-09-30 00:00:00,948
Baggy Fit Jeans,2015-10-31 00:00:00,650
Baggy Fit Jeans,2015-11-30 00:00:00,938
Baggy Fit Jeans,2015-12-31 00:00:00,617
Baggy Fit Jeans,2016-01-31 00:00:00,892
Baggy Fit Jeans,2016-02-29 00:00:00,1010
Baggy Fit Jeans,2016-03-31 00:00:00,703
Baggy Fit Jeans,2016-04-30 00:00:00,747
Baggy Fit Jeans,2016-05-31 00:00:00,877
Baggy Fit Jeans,2016-06-30 00:00:00,777
Baggy Fit Jeans,2016-07-31 00:00:00,910
Baggy Fit Jeans,2016-08-31 00:00:00,985
Baggy Fit Jeans,2016-09-30 00:00:00,683
Baggy Fit Jeans,2016-10-31 00:00:00,784
Baggy Fit Jeans,2016-11-30 00:00:00,805
Baggy Fit Jeans,2016-12-31 00:00:00,927
Baggy Fit Jeans,2017-01-31 00:00:00,809
Baggy Fit Jeans,2017-02-28 00:00:00,663
Baggy Fit Jeans,2017-03-31 00:00:00,917
Baggy Fit Jeans,2017-04-30 00:00:00,634
Baggy Fit Jeans,2017-05-31 00:00:00,1043
Baggy Fit Jeans,2017-06-30 00:00:00,755
Baggy Fit Jeans,2017-07-31 00:00:00,821
Baggy Fit Jeans,2017-08-31 00:00:00,822
Baggy Fit Jeans,2017-09-30 00:00:00,885
Baggy Fit Jeans,2017-10-31 00:00:00,809
Baggy Fit Jeans,2017-11-30 00:00:00,731
Baggy Fit Jeans,2017-12-31 00:00:00,797
Baggy Fit Jeans,2018-01-31 00:00:00,863
Baggy Fit Jeans,2018-02-28 00:00:00,752
Baggy Fit Jeans,2018-03-31 00:00:00,899
Baggy Fit Jeans,2018-04-30 00:00:00,744
Baggy Fit Jeans,2018-05-31 00:00:00,752
Baggy Fit Jeans,2018-06-30 00:00:00,833
Baggy Fit Jeans,2018-07-31 00:00:00,758
Baggy Fit Jeans,2018-08-31 00:00:00,1010
Baggy Fit Jeans,2018-09-30 00:00:00,851
Baggy Fit Jeans,2018-10-31 00:00:00,867
Baggy Fit Jeans,2018-11-30 00:00:00,907
Baggy Fit Jeans,2018-12-31 00:00:00,732
Baggy Fit Jeans,2019-01-31 00:00:00,858
Baggy Fit Jeans,2019-02-28 00:00:00,636
Baggy Fit Jeans,2019-03-31 00:00:00,592
Baggy Fit Jeans,2019-04-30 00:00:00,725
Baggy Fit Jeans,2019-05-31 00:00:00,795
Baggy Fit Jeans,2019-06-30 00:00:00,672
Baggy Fit Jeans,2019-07-31 00:00:00,716
Baggy Fit Jeans,2019-08-31 00:00:00,776
Baggy Fit Jeans,2019-09-30 00:00:00,621
Baggy Fit Jeans,2019-10-31 00:00:00,954
Baggy Fit Jeans,2019-11-30 00:00:00,825
Baggy Fit Jeans,2019-12-31 00:00:00,869
Baggy Fit Jeans,2020-01-31 00:00:00,767
Baggy Fit Jeans,2020-02-29 00:00:00,663
Baggy Fit Jeans,2020-03-31 00:00:00,703
Baggy Fit Jeans,2020-04-30 00:00:00,667
Baggy Fit Jeans,2020-05-31 00:00:00,715
Baggy Fit Jeans,2020-06-30 00:00:00,657
Baggy Fit Jeans,2020-07-31 00:00:00,781
Baggy Fit Jeans,2020-08-31 00:00:00,880
Baggy Fit Jeans,2020-09-30 00:00:00,796
Baggy Fit Jeans,2020-10-31 00:00:00,828
Baggy Fit Jeans,2020-11-30 00:00:00,870
Baggy Fit Jeans,2020-12-31 00:00:00,895
Baggy Fit Jeans,2021-01-31 00:00:00,725
Baggy Fit Jeans,2021-02-28 00:00:00,746
Baggy Fit Jeans,2021-03-31 00:00:00,794
Baggy Fit Jeans,2021-04-30 00:00:00,741
Baggy Fit Jeans,2021-05-31 00:00:00,759
Baggy Fit Jeans,2021-06-30 00:00:00,1038
Baggy Fit Jeans,2021-07-31 00:00:00,861
Baggy Fit Jeans,2021-08-31 00:00:00,727
Baggy Fit Jeans,2021-09-30 00:00:00,714
Baggy Fit Jeans,2021-10-31 00:00:00,889
Baggy Fit Jeans,2021-11-30 00:00:00,864
Baggy Fit Jeans,2021-12-31 00:00:00,748
Baggy Fit Jeans,2022-01-31 00:00:00,920
Baggy Fit Jeans,2022-02-28 00:00:00,705
Baggy Fit Jeans,2022-03-31 00:00:00,818
Baggy Fit Jeans,2022-04-30 00:00:00,888
Baggy Fit Jeans,2022-05-31 00:00:00,823
Baggy Fit Jeans,2022-06-30 00:00:00,983
Baggy Fit Jeans,2022-07-31 00:00:00,796
Baggy Fit Jeans,2022-08-31 00:00:00,774
Baggy Fit Jeans,2022-09-30 00:00:00,869
Baggy Fit Jeans,2022-10-31 00:00:00,822
Baggy Fit Jeans,2022-11-30 00:00:00,588
Baggy Fit Jeans,2022-12-31 00:00:00,851
Baggy Fit Jeans,2023-01-31 00:00:00,783
Baggy Fit Jeans,2023-02-28 00:00:00,645
Baggy Fit Jeans,2023-03-31 00:00:00,871
Baggy Fit Jeans,2023-04-30 00:00:00,815
Baggy Fit Jeans,2023-05-31 00:00:00,743
Baggy Fit Jeans,2023-06-30 00:00:00,637
Baggy Fit Jeans,2023-07-31 00:00:00,941
Baggy Fit Jeans,2023-08-31 00:00:00,746
Baggy Fit Jeans,2023-09-30 00:00:00,750
Baggy Fit Jeans,2023-10-31 00:00:00,824
Baggy Fit Jeans,2023-11-30 00:00:00,927
Baggy Fit Jeans,2023-12-31 00:00:00,853
Baggy Fit Jeans,2024-01-31 00:00:00,828
Baggy Fit Jeans,2024-02-29 00:00:00,726
Baggy Fit Jeans,2024-03-31 00:00:00,805
Baggy Fit Jeans,2024-04-30 00:00:00,785
Baggy Fit Jeans,2024-05-31 00:00:00,808
Baggy Fit Jeans,2024-06-30 00:00:00,797
Baggy Fit Jeans,2024-07-31 00:00:00,837
Baggy Fit Jeans,2024-08-31 00:00:00,824
Baggy Fit Jeans,2024-09-30 00:00:00,795
Baggy Fit Jeans,2024-10-31 00:00:00,841
Baggy Fit Jeans,2024-11-30 00:00:00,827
Baggy Fit Jeans,2024-12-31 00:00:00,825
Baggy Fit Jeans,2025-01-31 00:00:00,837
Baggy Fit Jeans,2025-02-28 00:00:00,755
Baggy Fit Jeans,2025-03-31 00:00:00,818
Baggy Fit Jeans,2025-04-30 00:00:00,811
Baggy Fit Jeans,2025-05-31 00:00:00,831
Baggy Fit Jeans,2025-06-30 00:00:00,822
Baggy Fit Jeans,2025-07-31 00:00:00,857
Baggy Fit Jeans,2025-08-31 00:00:00,845
Baggy Fit Jeans,2025-09-30 00:00:00,816
Baggy Fit Jeans,2025-10-31 00:00:00,859
Baggy Fit Jeans,2025-11-30 00:00:00,849
Baggy Fit Jeans,2025-12-31 00:00:00,849
Baggy Fit Jeans,2026-01-31 00:00:00,863
Baggy Fit Jeans,2026-02-28 00:00:00,776
Baggy Fit Jeans,2026-03-31 00:00:00,839
Baggy Fit Jeans,2026-04-30 00:00:00,834
Baggy Fit Jeans,2026-05-31 00:00:00,855
Baggy Fit Jeans,2026-06-30 00:00:00,847
Baggy Fit Jeans,2026-07-31 00:00:00,880
Baggy Fit Jeans,2026-08-31 00:00:00,872
Baggy Fit Jeans,2026-09-30 00:00:00,842
Baggy Fit Jeans,2026-10-31 00:00:00,881
Baggy Fit Jeans,2026-11-30 00:00:00,872
Baggy Fit Jeans,2026-12-31 00:00:00,874
Baggy Fit Jeans,2027-01-31 00:00:00,880
Baggy Fit Jeans,2027-02-28 00:00:00,800
Baggy Fit Jeans,2027-03-31 00:00:00,860
Baggy Fit Jeans,2027-04-30 00:00:00,856
Baggy Fit Jeans,2027-05-31 00:00:00,874
Baggy Fit Jeans,2027-06-30 00:00:00,862
Baggy Fit Jeans,2027-07-31 00:00:00,904
Baggy Fit Jeans,2027-08-31 00:00:00,894
Baggy Fit Jeans,2027-09-30 00:00:00,860
Baggy Fit Jeans,2027-10-31 00:00:00,909
Baggy Fit Jeans,2027-11-30 00:00:00,907
Baggy Fit Jeans,2027-12-31 00:00:00,893
Baggy Fit Jeans,2028-01-31 00:00:00,907
Baggy Fit Jeans,2028-02-29 00:00:00,827
Baggy Fit Jeans,2028-03-31 00:00:00,883
Baggy Fit Jeans,2028-04-30 00:00:00,876
Baggy Fit Jeans,2028-05-31 00:00:00,902
Baggy Fit Jeans,2028-06-30 00:00:00,894
Baggy Fit Jeans,2028-07-31 00:00:00,924
Baggy Fit Jeans,2028-08-31 00:00:00,915
Baggy Fit Jeans,2028-09-30 00:00:00,887
Bags,2015-01-31 00:00:00,738
Bags,2015-02-28 00:00:00,771
Bags,2015-03-31 00:00:00,737
Bags,2015-04-30 00:00:00,764
Bags,2015-05-31 00:00:00,795
Bags,2015-06-30 00:00:00,614
Bags,2015-07-31 00:00:00,1021
Bags,2015-08-31 00:00:00,659
Bags,2015-09-30 00:00:00,763
Bags,2015-10-31 00:00:00,760
Bags,2015-11-30 00:00:00,706
Bags,2015-12-31 00:00:00,997
Bags,2016-01-31 00:00:00,757
Bags,2016-02-29 00:00:00,737
Bags,2016-03-31 00:00:00,761
Bags,2016-04-30 00:00:00,770
Bags,2016-05-31 00:00:00,873
Bags,2016-06-30 00:00:00,937
Bags,2016-07-31 00:00:00,741
Bags,2016-08-31 00:00:00,855
Bags,2016-09-30 00:00:00,772
Bags,2016-10-31 00:00:00,935
Bags,2016-11-30 00:00:00,673
Bags,2016-12-31 00:00:00,688
Bags,2017-01-31 00:00:00,871
Bags,2017-02-28 00:00:00,790
Bags,2017-03-31 00:00:00,1031
Bags,2017-04-30 00:00:00,925
Bags,2017-05-31 00:00:00,824
Bags,2017-06-30 00:00:00,830
Bags,2017-07-31 00:00:00,995
Bags,2017-08-31 00:00:00,930
Bags,2017-09-30 00:00:00,734
Bags,2017-10-31 00:00:00,713
Bags,2017-11-30 00:00:00,921
Bags,2017-12-31 00:00:00,850
Bags,2018-01-31 00:00:00,803
Bags,2018-02-28 00:00:00,571
Bags,2018-03-31 00:00:00,759
Bags,2018-04-30 00:00:00,860
Bags,2018-05-31 00:00:00,854
Bags,2018-06-30 00:00:00,925
Bags,2018-07-31 00:00:00,863
Bags,2018-08-31 00:00:00,703
Bags,2018-09-30 00:00:00,775
Bags,2018-10-31 00:00:00,864
Bags,2018-11-30 00:00:00,840
Bags,2018-12-31 00:00:00,621
Bags,2019-01-31 00:00:00,733
Bags,2019-02-28 00:00:00,838
Bags,2019-03-31 00:00:00,858
Bags,2019-04-30 00:00:00,858
Bags,2019-05-31 00:00:00,879
Bags,2019-06-30 00:00:00,967
Bags,2019-07-31 00:00:00,816
Bags,2019-08-31 00:00:00,831
Bags,2019-09-30 00:00:00,924
Bags,2019-10-31 00:00:00,835
Bags,2019-11-30 00:00:00,510
Bags,2019-12-31 00:00:00,830
Bags,2020-01-31 00:00:00,1072
Bags,2020-02-29 00:00:00,909
Bags,2020-03-31 00:00:00,863
Bags,2020-04-30 00:00:00,691
Bags,2020-05-31 00:00:00,794
Bags,2020-06-30 00:00:00,740
Bags,2020-07-31 00:00:00,749
Bags,2020-08-31 00:00:00,791
Bags,2020-09-30 00:00:00,656
Bags,2020-10-31 00:00:00,854
Bags,2020-11-30 00:00:00,722
Bags,2020-12-31 00:00:00,706
Bags,2021-01-31 00:00:00,688
Bags,2021-02-28 00:00:00,579
Bags,2021-03-31 00:00:00,928
