TransactionID,ProductID,ProductName,Category,Price,QuantitySold,SaleDate,Season,Year,DiscountApplied,TransactionAmount,CustomerLoyalty
T32480,P00016,Portable Fan,Home Decor,38.26168874,13,25/11/2018,Fall,2018,10,497.4019536,1
T55976,P00023,Children's Book,Books,74.00109665,3,10/01/2019,Winter,2019,0,222.00329,2
T51903,P00007,Smart Thermostat,Electronics,58.26776813,2,04/01/2018,Winter,2018,10,116.5355363,1
T18580,P00024,Travel Guide,Books,90.82610715,1,23/05/2023,Fall,2023,0,90.82610715,4
T81279,P00059,Casual Sneakers,Footwear,247.9101693,11,23/04/2020,Summer,2020,0,2727.011862,4
T59321,P00036,Winter Jacket,Clothing,74.65715588,14,21/07/2017,Fall,2017,0,1045.200182,4
T50629,P00050,Raincoat,Clothing,108.5738553,3,12/12/2021,Spring,2021,0,325.7215659,1
T76134,P00029,T-Shirt,Clothing,153.8452616,13,01/12/2018,Summer,2018,0,1999.988401,1
T92940,P00005,Casual Sneakers,Footwear,78.13003506,10,08/04/2021,Spring,2021,10,781.3003506,2
T92650,P00010,Travel Guide,Books,12.84379568,20,05/06/2018,Spring,2018,20,256.8759136,2
T17180,P00033,Smart Thermostat,Electronics,86.70740737,14,29/08/2017,Fall,2017,0,1213.903703,1
T61928,P00040,Formal Suit,Clothing,179.5411147,12,22/09/2018,Summer,2018,0,2154.493376,1
T41800,P00026,Digital Camera,Electronics,92.22472215,20,31/08/2021,Spring,2021,0,1844.494443,1
T75268,P00022,Toaster Oven,Home Decor,51.46303943,20,13/08/2020,Fall,2020,0,1029.260789,1
T86995,P00015,Raincoat,Clothing,164.2546168,11,03/09/2022,Summer,2022,20,1806.800785,2
T55334,P00012,Smart Thermostat,Electronics,42.68721217,9,04/09/2015,Fall,2015,0,384.1849095,1
T79875,P00013,Monitor Arm,Electronics,87.24380937,10,16/05/2020,Spring,2020,0,872.4380937,3
T82179,P00029,Mechanical Keyboard,Electronics,84.22136958,9,12/02/2015,Winter,2015,0,757.9923262,1
T32471,P00049,Coffee Maker,Home Decor,17.06665507,11,17/03/2017,Winter,2017,20,187.7332058,2
T14628,P00056,Smartphone Case,Accessories,98.19264869,17,16/07/2017,Winter,2017,0,1669.275028,1
T86900,P00011,HD Webcam,Accessories,46.59108174,10,25/04/2022,Winter,2022,0,465.9108174,1
T11486,P00039,Smartwatch,Electronics,56.56088853,15,28/05/2020,Fall,2020,0,848.413328,1
T76755,P00043,External Hard Drive,Accessories,27.53236718,7,04/04/2021,Winter,2021,0,192.7265703,1
T87127,P00033,Self-Help Book,Books,64.98267198,13,21/11/2022,Winter,2022,0,844.7747357,3
T85832,P00019,Leather Loafers,Footwear,247.9204632,10,10/08/2015,Fall,2015,0,2479.204632,1
