TransactionID,ProductID,ProductName,Category,Price,QuantitySold,SaleDate,Season,Year,DiscountApplied,TransactionAmount,CustomerLoyalty
T93385,P00007,Running Shoes,Footwear,42,4,25/10/2020,Winter,2020,20,168,1
T94601,P00003,Hiking Boots,Footwear,33,3,04/06/2019,Spring,2019,0,528,4
T56875,P00018,Cutting Board,Home Decor,17,16,16/01/2020,Winter,2020,20,102,1
T58756,P00033,HD Webcam,Accessories,76,18,02/03/2015,Fall,2015,0,304,2
T21208,P00044,4K TV,Electronics,100,12,15/11/2017,Summer,2017,5,1100,1
T51250,P00012,Travel Guide,Books,84,17,23/09/2022,Spring,2022,0,168,3
T74063,P00010,Portable Fan,Home Decor,71,16,26/04/2023,Summer,2023,0,142,2
T85970,P00026,Hoodie,Clothing,135,9,08/05/2021,Summer,2021,0,1215,2
T31969,P00031,Denim Jeans,Clothing,65,6,23/09/2020,Winter,2020,15,650,3
T83164,P00019,Running Shoes,Footwear,133,7,27/06/2015,Summer,2015,30,1995,2
T97802,P00046,Dress Shoes,Footwear,128,7,27/09/2017,Fall,2017,0,128,1
T89586,P00030,Children's Book,Books,19,6,27/08/2017,Spring,2017,0,152,1
T54722,P00032,Smartphone Case,Accessories,52,4,27/05/2018,Summer,2018,0,988,4
T90920,P00030,Hoodie,Clothing,160,8,05/04/2015,Winter,2015,5,2080,1
T89075,P00002,Monitor Arm,Electronics,100,7,13/12/2016,Summer,2016,15,1900,1
T29049,P00035,Shorts,Clothing,76,14,03/02/2019,Fall,2019,0,1368,2
T39263,P00057,Flip-Flops,Footwear,78,1,14/02/2019,Spring,2019,0,390,4
T95606,P00028,Cordless Vacuum,Home Decor,29,8,14/12/2020,Fall,2020,0,203,1
T83974,P00034,Gaming Mouse,Accessories,57,8,26/10/2022,Fall,2022,0,741,1
T31688,P00059,Water Filter Pitcher,Home Decor,34,10,12/12/2015,Summer,2015,15,544,3
T26825,P00036,Hoodie,Clothing,37,12,20/11/2023,Spring,2023,0,666,2
T81470,P00034,Gaming Mouse,Accessories,57,13,10/08/2020,Winter,2020,0,228,1
T67931,P00009,Science Textbook,Books,49,13,03/12/2021,Winter,2021,30,441,4
T96524,P00050,Sweatpants,Clothing,180,15,24/03/2019,Spring,2019,0,1080,2
T41948,P00024,Shorts,Clothing,161,17,12/09/2016,Winter,2016,0,3059,3
T33387,P00021,Wireless Keyboard,Accessories,24,5,26/04/2018,Winter,2018,0,432,1
T98631,P00006,Microwave Oven,Home Decor,60,1,09/08/2022,Summer,2022,0,120,3
T39615,P00055,USB Flash Drive,Accessories,15,3,19/12/2019,Winter,2019,0,90,1
T94790,P00046,Fiction Novel,Books,67,4,17/09/2015,Fall,2015,0,804,1
T76953,P00055,Formal Suit,Clothing,151,5,07/01/2018,Fall,2018,0,2718,3
T59941,P00028,Cordless Vacuum,Home Decor,29,10,14/06/2017,Winter,2017,20,348,2
T62998,P00025,HD Webcam,Accessories,97,19,09/12/2019,Fall,2019,30,873,1
T33482,P00016,Gaming Mouse,Accessories,39,10,20/10/2017,Spring,2017,0,390,4
T54105,P00009,Raincoat,Clothing,145,2,13/01/2023,Spring,2023,15,290,2
T72820,P00058,Soundbar,Electronics,26,4,02/12/2018,Spring,2018,0,312,3
T18486,P00022,External Hard Drive,Accessories,11,8,02/01/2015,Spring,2015,20,121,3
T49583,P00009,Winter Jacket,Clothing,25,5,19/12/2017,Spring,2017,0,400,1
T50620,P00002,Monitor Arm,Electronics,100,13,14/08/2015,Fall,2015,0,500,1
T63057,P00005,Gaming Mouse,Accessories,68,4,18/01/2022,Winter,2022,0,816,1
T36981,P00020,Mystery Novel,Books,54,3,24/12/2022,Fall,2022,15,648,3
T65227,P00056,Cookbook,Books,50,8,04/06/2021,Summer,2021,20,950,1
T15974,P00057,Mystery Novel,Books,59,10,14/04/2018,Fall,2018,20,590,2
T88757,P00004,Wireless Earbuds,Electronics,68,6,12/07/2019,Winter,2019,0,476,1
T77545,P00029,Science Textbook,Books,14,3,14/04/2017,Winter,2017,10,196,2
T41729,P00008,Portable Fan,Home Decor,24,1,08/08/2021,Fall,2021,0,144,1
T28765,P00057,HD Webcam,Accessories,26,15,11/03/2022,Summer,2022,0,156,2
T75957,P00006,Sweatpants,Clothing,184,1,27/08/2015,Summer,2015,0,1104,4
T42668,P00036,Mystery Novel,Books,88,12,07/12/2015,Fall,2015,10,88,4
T16796,P00032,E-Reader,Electronics,47,3,27/02/2016,Fall,2016,0,752,1
T47290,P00026,Leather Loafers,Footwear,48,17,26/10/2017,Summer,2017,0,720,4
T57747,P00020,Laptop Stand,Accessories,41,14,17/12/2020,Summer,2020,5,287,2
T57056,P00050,Self-Help Book,Books,43,11,19/01/2017,Winter,2017,10,172,1
T44978,P00028,E-Reader,Electronics,62,19,04/02/2015,Summer,2015,15,124,1
