TransactionID,ProductID,ProductName,Category,Price,QuantitySold,SaleDate,Season,Year,DiscountApplied,TransactionAmount,CustomerLoyalty
T75597,P00032,Nanoleaf Shapes Smart Light Panels,Home Decor,50,19,20/12/2015,Summer,2020,5,950,1
T33357,P00015,Insta360 X3 Action Camera,Electronics,154,15,13/05/2017,Spring,2016,0,2310,4
T35248,P00036,Google Pixel Buds Pro,Electronics,78,14,25/02/2023,Summer,2019,10,1092,1
T29643,P00048,Ultimate Ears MEGABOOM 3 Speaker,Electronics,29,13,01/09/2017,Spring,2017,30,377,1
T46142,P00024,Keurig K-Supreme Plus Coffee Maker,Home Decor,85,6,21/10/2016,Summer,2019,0,510,3
T18344,P00040,Panasonic Lumix GH6 Camera,Electronics,43,8,19/03/2020,Spring,2019,20,344,1
T49315,P00051,Insta360 X3 Action Camera,Electronics,97,18,01/08/2015,Spring,2023,0,1746,1
T12298,P00015,Keurig K-Supreme Plus Coffee Maker,Home Decor,55,13,20/01/2018,Winter,2022,10,715,3
T32905,P00060,Keurig K-Supreme Plus Coffee Maker,Home Decor,23,18,30/06/2017,Winter,2015,0,414,3
T23892,P00034,Nanoleaf Shapes Smart Light Panels,Home Decor,64,14,05/01/2021,Spring,2020,10,896,1
T54816,P00044,Philips Wiz Smart LED Bulbs,Home Decor,100,19,01/01/2020,Spring,2019,0,1900,4
T81380,P00012,Kobo Clara 2E E-Reader,Electronics,84,13,11/07/2021,Spring,2015,0,1092,2
T70437,P00018,De'Longhi Dinamica Espresso Machine,Home Decor,60,10,10/06/2017,Spring,2020,15,600,3
T89578,P00049,Valve Steam Deck Handheld,Electronics,18,4,21/05/2017,Summer,2017,0,72,1
T79274,P00023,Garmin Forerunner 965,Electronics,75,11,20/04/2021,Summer,2020,0,825,4
T91594,P00031,Shark FlexStyle Air Styling System,Home Decor,115,6,14/09/2019,Winter,2023,0,690,1
T49698,P00037,Garmin Forerunner 965,Electronics,98,9,19/07/2022,Spring,2016,10,882,1
T31111,P00050,Valve Steam Deck Handheld,Electronics,76,3,23/03/2015,Winter,2018,0,228,1
T82636,P00044,Panasonic Lumix GH6 Camera,Electronics,24,17,01/01/2016,Fall,2021,5,408,3
T93616,P00021,Garmin Forerunner 965,Electronics,27,1,19/09/2015,Spring,2023,10,27,3
T95465,P00050,Acer Swift Edge 16 Laptop,Electronics,43,8,04/02/2016,Fall,2019,0,344,1
T13539,P00013,Arlo Pro 5S 2K Security Camera,Home Decor,90,18,21/06/2022,Summer,2017,0,1620,4
T15211,P00043,Keurig K-Supreme Plus Coffee Maker,Home Decor,38,1,04/06/2023,Winter,2016,15,38,2
T17332,P00029,Nanoleaf Shapes Smart Light Panels,Home Decor,82,4,05/03/2015,Spring,2019,15,328,4
T99563,P00047,Panasonic Lumix GH6 Camera,Electronics,72,13,29/03/2016,Summer,2020,5,936,4
T94880,P00053,Cuisinart Precision Stand Mixer,Home Decor,69,5,13/10/2020,Fall,2017,0,345,1
T82743,P00035,Kobo Clara 2E E-Reader,Electronics,36,4,23/06/2017,Summer,2023,15,144,1
T27618,P00021,Garmin Forerunner 965,Electronics,69,1,05/02/2020,Winter,2023,10,69,1
T50629,P00044,Garmin Forerunner 965,Electronics,74,8,13/11/2020,Spring,2022,10,592,4
T64958,P00018,Honeywell Home T9 Smart Thermostat,Home Decor,74,18,19/09/2015,Fall,2021,0,1332,2
T50176,P00011,Nanoleaf Shapes Smart Light Panels,Home Decor,96,17,14/08/2021,Spring,2019,10,1632,3
T21914,P00053,Shark FlexStyle Air Styling System,Home Decor,98,15,02/07/2022,Spring,2016,0,1470,4
T87833,P00032,Garmin Forerunner 965,Electronics,67,2,26/04/2018,Summer,2020,0,134,3
T87351,P00026,Ultimate Ears MEGABOOM 3 Speaker,Electronics,200,4,19/09/2018,Spring,2018,15,800,1
T64027,P00020,Roborock S7 MaxV Ultra Vacuum,Home Decor,37,8,31/10/2023,Fall,2020,20,296,1
T35857,P00049,Philips Wiz Smart LED Bulbs,Home Decor,37,17,21/04/2022,Spring,2017,0,629,1
T79484,P00006,Shark FlexStyle Air Styling System,Home Decor,142,9,26/10/2016,Spring,2015,0,1278,2
T77102,P00029,Ultimate Ears MEGABOOM 3 Speaker,Electronics,23,19,10/04/2023,Summer,2015,0,437,4
T66281,P00054,Polar Grit X Pro Smartwatch,Electronics,83,5,08/01/2019,Spring,2016,20,415,1
T87264,P00044,Acer Swift Edge 16 Laptop,Electronics,64,18,15/04/2019,Spring,2021,10,1152,4
T80805,P00052,Arlo Pro 5S 2K Security Camera,Home Decor,22,16,04/01/2021,Spring,2020,10,352,3
T72728,P00010,Google Pixel Buds Pro,Electronics,26,1,24/08/2016,Fall,2022,10,26,3
T56133,P00040,Valve Steam Deck Handheld,Electronics,95,1,16/06/2021,Spring,2020,0,95,2
T17232,P00004,Razer DeathAdder V3 Mouse,Electronics,266,4,09/12/2016,Spring,2023,5,1064,4
T36624,P00007,HP Spectre x360 14 Laptop,Electronics,91,13,31/10/2015,Fall,2019,0,1183,2
T47374,P00020,De'Longhi Dinamica Espresso Machine,Home Decor,45,19,05/08/2022,Winter,2022,20,855,2
T96024,P00008,Kobo Clara 2E E-Reader,Electronics,82,15,10/12/2022,Fall,2020,20,1230,1
T77411,P00025,Garmin Forerunner 965,Electronics,49,11,11/11/2023,Winter,2023,20,539,1
T24926,P00050,Razer DeathAdder V3 Mouse,Electronics,141,15,11/01/2019,Spring,2021,0,2115,2
T87931,P00057,Cuisinart Precision Stand Mixer,Home Decor,58,13,19/07/2021,Fall,2023,15,754,3
T43598,P00045,HP Spectre x360 14 Laptop,Electronics,93,7,13/04/2018,Fall,2021,0,651,3
T23205,P00008,Roborock S7 MaxV Ultra Vacuum,Home Decor,34,13,02/02/2016,Winter,2019,0,442,1
T40253,P00055,Ultimate Ears MEGABOOM 3 Speaker,Electronics,66,11,30/10/2017,Summer,2022,0,726,3
T52793,P00043,Ultimate Ears MEGABOOM 3 Speaker,Electronics,168,11,18/03/2022,Fall,2022,0,1848,4
T71019,P03009,The Brothers Karamazov,Books,38,9,11/02/2017,Summer,2016,0,342,1
T80756,P00034,Nanoleaf Shapes Smart Light Panels,Home Decor,54,19,05/05/2023,Summer,2022,0,1026,2
T40438,P00021,Ultimate Ears MEGABOOM 3 Speaker,Electronics,192,6,06/06/2015,Summer,2019,20,1152,2
T76357,P00021,Kobo Clara 2E E-Reader,Electronics,23,9,20/04/2019,Fall,2020,20,207,2
T92511,P00039,Ultimate Ears MEGABOOM 3 Speaker,Electronics,136,3,24/10/2018,Winter,2022,0,408,1
T31149,P00023,Honeywell Home T9 Smart Thermostat,Home Decor,15,1,11/04/2021,Winter,2022,0,15,1
T75958,P00002,Nanoleaf Shapes Smart Light Panels,Home Decor,62,15,26/10/2017,Fall,2018,0,930,3
T31911,P00044,Cuisinart Precision Stand Mixer,Home Decor,40,12,07/06/2016,Spring,2016,0,480,2
T22062,P00031,Cuisinart Precision Stand Mixer,Home Decor,17,10,03/04/2021,Winter,2017,0,170,2
T85797,P00060,Ultimate Ears MEGABOOM 3 Speaker,Electronics,109,11,16/07/2017,Fall,2018,0,1199,1
T17371,P00029,Shark FlexStyle Air Styling System,Home Decor,136,6,19/04/2021,Winter,2023,10,816,3
T10987,P00003,Ninja Foodi 9-in-1 Cooker,Home Decor,181,7,23/03/2015,Fall,2017,20,1267,1
T95468,P00060,Philips Wiz Smart LED Bulbs,Home Decor,95,17,24/05/2020,Winter,2021,15,1615,1
T49463,P00026,Roborock S7 MaxV Ultra Vacuum,Home Decor,58,18,22/12/2016,Spring,2015,5,1044,2
T29368,P00033,Garmin Forerunner 965,Electronics,47,7,18/09/2022,Winter,2020,0,329,3
T97039,P00024,Ninja Foodi 9-in-1 Cooker,Home Decor,140,2,10/01/2018,Winter,2021,0,280,1
T46799,P00019,De'Longhi Dinamica Espresso Machine,Home Decor,63,10,06/03/2016,Spring,2017,0,630,2
T86242,P00011,Roborock S7 MaxV Ultra Vacuum,Home Decor,92,9,10/07/2022,Winter,2020,20,828,4
T70548,P00027,Nanoleaf Shapes Smart Light Panels,Home Decor,27,12,23/11/2015,Summer,2021,0,324,1
T99531,P00019,Garmin Forerunner 965,Electronics,45,17,10/11/2017,Winter,2015,0,765,4
T30420,P00055,Razer DeathAdder V3 Mouse,Electronics,273,12,17/09/2023,Spring,2015,0,3276,4
T23994,P00044,Garmin Forerunner 965,Electronics,73,9,03/12/2019,Summer,2022,20,657,2
T15590,P00008,Cuisinart Precision Stand Mixer,Home Decor,58,5,25/02/2019,Fall,2022,20,290,1
T47163,P00030,Nanoleaf Shapes Smart Light Panels,Home Decor,26,18,22/04/2016,Fall,2015,10,468,2
T52633,P00008,Kobo Clara 2E E-Reader,Electronics,27,3,18/08/2018,Fall,2023,0,81,4
T88359,P00060,Keurig K-Supreme Plus Coffee Maker,Home Decor,23,18,29/06/2021,Winter,2022,5,414,2
T46105,P00003,Google Pixel Buds Pro,Electronics,33,10,03/09/2015,Summer,2022,15,330,4
T70429,P00035,Shark FlexStyle Air Styling System,Home Decor,167,10,05/06/2018,Summer,2021,0,1670,4
T29819,P00022,Panasonic Lumix GH6 Camera,Electronics,64,15,13/11/2017,Summer,2016,0,960,1
T53820,P00053,Keurig K-Supreme Plus Coffee Maker,Home Decor,37,11,20/07/2021,Spring,2020,0,407,1
T94579,P00008,Roborock S7 MaxV Ultra Vacuum,Home Decor,60,12,19/12/2015,Fall,2019,0,720,3
T52495,P00002,Valve Steam Deck Handheld,Electronics,87,13,04/09/2015,Winter,2015,10,1131,3
T38613,P00046,Keurig K-Supreme Plus Coffee Maker,Home Decor,50,3,11/04/2018,Summer,2019,15,150,1
T70183,P00020,Valve Steam Deck Handheld,Electronics,29,10,30/12/2015,Fall,2021,0,290,2
T19105,P00007,HP Spectre x360 14 Laptop,Electronics,91,19,03/10/2018,Spring,2016,0,1729,2
T48849,P00011,Google Pixel Buds Pro,Electronics,92,6,14/12/2023,Winter,2022,10,552,2
T51615,P00020,Panasonic Lumix GH6 Camera,Electronics,34,13,06/04/2015,Spring,2023,5,442,1
